Date : 2026-08-11 15:57:45
Directory : d:\Vscode\.vscode
Total : 832 files,  43539 codes, 32537 comments, 4453 blanks, all 80529 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C++                |        828 |     43,389 |     32,534 |      4,453 |     80,376 |
| JSON with Comments |          3 |        115 |          3 |          0 |        118 |
| JSON               |          1 |         35 |          0 |          0 |         35 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Vscode\.vscode\abc\430\e.cpp                                            | C++                |         50 |          0 |          2 |         52 |
| d:\Vscode\.vscode\abc\432\a.cpp                                            | C++                |         23 |          0 |          0 |         23 |
| d:\Vscode\.vscode\abc\432\b.cpp                                            | C++                |         43 |          0 |          0 |         43 |
| d:\Vscode\.vscode\abc\432\c.cpp                                            | C++                |         60 |          2 |          2 |         64 |
| d:\Vscode\.vscode\abc\432\d.cpp                                            | C++                |          0 |          0 |          1 |          1 |
| d:\Vscode\.vscode\abc\432\e.cpp                                            | C++                |         95 |          9 |          2 |        106 |
| d:\Vscode\.vscode\abc\432\f.cpp                                            | C++                |         66 |          0 |          2 |         68 |
| d:\Vscode\.vscode\abc\432\g.cpp                                            | C++                |         21 |          0 |          2 |         23 |
| d:\Vscode\.vscode\abc\433\a.cpp                                            | C++                |         17 |          0 |          0 |         17 |
| d:\Vscode\.vscode\abc\433\b.cpp                                            | C++                |         30 |          0 |          2 |         32 |
| d:\Vscode\.vscode\abc\433\c.cpp                                            | C++                |         43 |          5 |          2 |         50 |
| d:\Vscode\.vscode\abc\433\d.cpp                                            | C++                |         40 |          8 |          0 |         48 |
| d:\Vscode\.vscode\abc\433\e.cpp                                            | C++                |         82 |          0 |          5 |         87 |
| d:\Vscode\.vscode\abc\433\f.cpp                                            | C++                |         70 |          0 |          3 |         73 |
| d:\Vscode\.vscode\abc\434\a.cpp                                            | C++                |         14 |          1 |          0 |         15 |
| d:\Vscode\.vscode\abc\434\b.cpp                                            | C++                |         23 |          0 |          0 |         23 |
| d:\Vscode\.vscode\abc\434\c.cpp                                            | C++                |         50 |          0 |          3 |         53 |
| d:\Vscode\.vscode\abc\434\d.cpp                                            | C++                |         64 |          7 |          4 |         75 |
| d:\Vscode\.vscode\abc\434\e.cpp                                            | C++                |        129 |          0 |          7 |        136 |
| d:\Vscode\.vscode\abc\434\f.cpp                                            | C++                |         10 |          0 |          1 |         11 |
| d:\Vscode\.vscode\abc\435\a.cpp                                            | C++                |         17 |          0 |          2 |         19 |
| d:\Vscode\.vscode\abc\435\b.cpp                                            | C++                |         36 |          0 |          1 |         37 |
| d:\Vscode\.vscode\abc\435\c.cpp                                            | C++                |         28 |          1 |          3 |         32 |
| d:\Vscode\.vscode\abc\435\d.cpp                                            | C++                |         49 |          0 |          4 |         53 |
| d:\Vscode\.vscode\abc\435\e.cpp                                            | C++                |         53 |          0 |          0 |         53 |
| d:\Vscode\.vscode\abc\435\test.cpp                                         | C++                |         30 |          3 |          1 |         34 |
| d:\Vscode\.vscode\abc\437\a.cpp                                            | C++                |         14 |          0 |          2 |         16 |
| d:\Vscode\.vscode\abc\437\b.cpp                                            | C++                |         36 |          0 |          2 |         38 |
| d:\Vscode\.vscode\abc\437\c.cpp                                            | C++                |         38 |          0 |          3 |         41 |
| d:\Vscode\.vscode\abc\437\d.cpp                                            | C++                |         55 |          2 |          6 |         63 |
| d:\Vscode\.vscode\abc\437\e.cpp                                            | C++                |         42 |          0 |          1 |         43 |
| d:\Vscode\.vscode\abc\437\f.cpp                                            | C++                |        121 |          2 |          8 |        131 |
| d:\Vscode\.vscode\abc\438\a.cpp                                            | C++                |         12 |          0 |          0 |         12 |
| d:\Vscode\.vscode\abc\438\b.cpp                                            | C++                |         25 |          0 |          1 |         26 |
| d:\Vscode\.vscode\abc\438\c.cpp                                            | C++                |         25 |          0 |          0 |         25 |
| d:\Vscode\.vscode\abc\438\d.cpp                                            | C++                |         35 |          0 |          4 |         39 |
| d:\Vscode\.vscode\abc\438\e.cpp                                            | C++                |         41 |          0 |          2 |         43 |
| d:\Vscode\.vscode\abc\438\f.cpp                                            | C++                |         84 |          6 |          5 |         95 |
| d:\Vscode\.vscode\abc\440\a.cpp                                            | C++                |         16 |          0 |          0 |         16 |
| d:\Vscode\.vscode\abc\440\b.cpp                                            | C++                |         27 |          0 |          0 |         27 |
| d:\Vscode\.vscode\abc\440\c.cpp                                            | C++                |         44 |          5 |          5 |         54 |
| d:\Vscode\.vscode\abc\440\d.cpp                                            | C++                |         79 |          4 |          1 |         84 |
| d:\Vscode\.vscode\abc\440\dpai\d.cpp                                       | C++                |         79 |          4 |          1 |         84 |
